Id,saleprice
2658,133194.6382855395
2718,172324.6221732122
2414,178867.43597399382
1989,122386.01741850178
625,189753.95221747822
333,101899.38529296423
1327,111309.20726042436
858,143905.03312194868
95,198764.71868668558
1568,171034.68051484623
2482,160899.95717150395
1364,115626.03216587429
2584,171419.84124514877
818,324984.83833367366
2673,180625.08313134746
2089,112109.7491978362
1297,152022.55847856533
790,116740.30650803693
2616,215582.94165031906
720,171113.10145294666
222,140659.97564404
557,120018.37326343312
1148,208036.45073065886
2766,145118.04832302162
534,188974.27721793944
1452,113962.6608915811
630,155566.48841696233
2648,128909.10809705866
125,138086.1656315121
1904,71221.30345900278
1670,105864.74634001814
756,90416.07937605692
717,272485.0453855185
1032,151852.2523525067
852,229093.3348892639
1731,170657.12154336477
2639,123423.87590119297
2071,88750.83339208682
1267,104096.28558149109
1851,196572.64472780513
567,157123.13447475914
2439,211711.27106043894
1898,162851.67322803952
647,157231.50929937547
2256,228967.57575820462
979,123426.25476215334
1444,221369.67180529135
2485,113330.30112896481
157,131738.96401650147
88,120510.446469776
2003,100685.98709325904
186,191668.82767575487
1425,281338.59996963845
2695,115121.1395528273
738,109127.48647711944
395,156937.49602560344
1353,138091.605718853
1878,149788.49846393836
390,173326.4330905094
1456,236339.70305243312
1103,340451.78061260754
1387,128926.70418357178
2070,152300.82286357248
1199,158883.86914842596
2479,165294.45615062222
501,364551.61797951435
2362,97832.46294224077
1718,199470.07957734633
2188,85765.72377569537
1483,139251.24919110123
2557,94957.38566215783
437,331987.10505794466
2224,208232.1430310354
1628,154069.7734008495
397,128041.6362720692
587,200212.51808751875
971,143639.78783293455
2611,148953.93303961208
1887,90601.37828062841
2399,339559.8647497509
2148,221262.57817466318
304,111246.33865477129
1997,128296.46816101192
2817,129103.60150746393
1431,175735.32096497325
427,360987.5311521719
263,117786.21525370136
598,170136.5652618431
2895,240520.83696762557
687,172752.08499234996
1822,133680.43855746638
2191,120975.52006934956
179,127539.61724485675
1009,217760.11074041453
2010,133966.5268690211
1991,134617.08590475094
1411,148369.835689867
1721,264535.5143100878
1144,187391.5500851175
593,189749.3616981909
575,289278.56487095397
1249,188958.85970334176
1604,118014.25327229127
1064,482114.80846229574
1923,173126.95343510067
1988,94195.98264115998
2325,163816.21113595227
114,199307.08856541134
2700,177288.72753482003
217,129794.78998412438
343,187016.09723285653
386,238906.0856752291
2005,93934.98293542239
2908,140120.65743795826
1814,217399.4277864351
2446,357104.0829063013
208,139452.8978334037
1679,126349.18061678833
822,319573.29799367656
6,183267.3325839828
1781,404345.442203158
2397,292423.36447857664
2340,316077.58399102505
1618,159378.2961791746
2843,129091.39003468993
1061,368868.4329786294
2786,112205.78206475025
1935,140241.2406142006
1341,128990.74262925937
521,293013.1528869404
2136,130581.25412609636
996,188132.99574891996
227,138660.35154484696
135,172070.6030587165
1167,168939.71988167235
294,251858.13648209776
1776,205536.33814175782
540,176332.5146607291
1717,199470.07957734633
2303,111561.61650912091
116,189196.78361296313
127,138274.7140647746
1371,120145.99595827775
1014,198615.29047239822
1507,89714.84100678255
702,121050.92015768542
750,138324.1453905943
261,135312.78028349072
1559,75881.52767471827
577,198042.77855513015
2812,200693.22866534232
2080,134202.48671363186
1368,114573.67825533272
2376,120042.23026978747
659,104516.86539756638
1235,123225.7095716398
332,94502.07599737633
1917,139480.1820286154
2094,248488.229590254
1460,301451.3968760996
1471,203720.1556153869
1509,125019.65873137482
1922,144034.39465813333
433,501282.0959860396
460,264165.42153234273
1116,278133.52314013016
1137,165737.425122418
53,172853.14279715464
2354,260116.90454649233
1475,202135.24710778316
1761,469102.3707009857
842,133839.71472221744
2739,159500.58575482867
2509,155129.66015296656
1007,197036.61064046205
2610,179404.4624052796
1952,86895.16570738041
2719,172482.0494404793
2921,101417.78786558879
1966,132441.131424229
292,129875.48693586588
1204,189319.42139150028
1829,269562.8882564009
2419,175285.943407523
391,163370.6572591883
798,112791.61490425424
481,181031.08747700005
193,231057.40533114274
555,119924.28230165034
899,73100.64281592284
2357,183164.26075530512
328,121856.84595790113
1356,126620.30167887724
1154,110197.88605024642
1730,174326.05814726284
2249,135835.172962025
1119,271808.15906919184
2856,148429.74996098856
1394,136950.79045846564
2587,118607.87543019946
61,351588.6996637156
2661,198369.43334343337
2711,123193.14382345395
1147,176039.60958488053
757,131992.85256414895
2623,90947.46903861691
2378,159271.39862430477
1413,138323.06437645433
1722,231648.53297532542
1112,219208.78955863442
1623,190813.4185201017
1201,181787.93959167038
1513,132911.41788654675
957,265002.8732631377
1171,243547.81279395928
1145,182036.00545115417
2726,249864.18323564393
703,140714.81496298933
760,76413.93692590942
1964,141773.85857721826
2512,172186.24335541172
159,128735.5684597663
1281,169598.43060777133
468,173154.33807520304
290,132091.50862569347
665,100346.35546772496
1463,291901.98140220717
1792,224078.66313705946
923,130586.67398515531
500,298654.76013334055
1408,187575.22708392172
331,84451.2456555902
170,109424.30615597303
2192,94079.1157772149
2571,328097.60310981475
2314,163123.5027456341
2647,93515.59187701668
422,482525.59347065305
2457,339609.0141649688
1838,208410.1891215283
2805,259165.37043817417
1645,160570.5994357354
1711,305135.1979167787
2825,252911.51160236393
322,335904.0187348287
2103,290741.3159801654
342,129802.0805350152
600,106950.218983587
488,199226.72542827515
1725,322042.4549916022
2246,264661.16527642414
2847,182017.87253101566
806,232707.10155282673
530,243471.5495883791
963,185664.6854073764
2678,90979.579891492
171,99391.01092079248
2401,432021.1003924049
805,215301.12102195507
2259,202264.78775632996
1748,153987.0500172446
1361,107602.86905841173
1677,126364.96131760941
1406,154825.71674731906
2322,226110.7955965065
688,156600.6166435372
143,133430.99097925483
804,190898.94885456754
1214,158045.63226388372
2828,137483.31467752063
1999,207617.0754035304
2467,193687.67273019263
2665,137066.4710975121
1538,380795.96566424787
398,106077.15395974687
2822,125454.19115691098
2157,139071.8374939898
1856,158807.0933364258
1269,100223.19253316754
2570,120312.63446571854
2320,246614.60966671226
1517,132911.15583872914
2304,117497.05946014031
1312,101430.1875830732
2012,142193.00759384868
506,221513.60042587222
2865,175313.07474415013
2367,114187.99697591629
554,115531.8288517388
238,126533.69114059764
1954,113482.23378148967
2488,136474.7546449935
2291,102979.567962649
1969,92170.55962713581
2725,158413.3464094251
1482,139251.24919110123
2763,204883.5430595481
503,256926.66339110612
1584,228770.49924233276
1531,163774.7642493842
2210,152108.1794883749
459,330647.9160468303
556,127168.24384389244
1347,128987.92230425926
1290,87200.97278774655
1388,106380.4397318769
1571,178386.0776100441
2754,207635.94167309272
765,124705.47052953503
2494,120145.91076312114
2870,190107.54592211032
7,230149.81242772262
1114,244824.83591225895
2418,287982.48942436534
291,119343.14857485934
18,394015.73665094154
39,339367.9518653079
1001,286638.51082120003
2442,239605.97808066694
616,125202.42500053968
2680,75299.09545625132
1414,119792.07967204986
289,146308.3520348514
40,273254.9762598413
860,120987.05021076779
409,132764.86071036712
673,159005.46931885468
2427,172739.41406104868
2036,189018.3017812432
2564,146200.15698824177
642,154890.71036742305
1008,169702.34376814944
1908,136798.59589976948
2519,215981.59133373914
1369,87894.66833350417
2855,155244.63093332946
712,89794.02419392171
1943,125558.8750391892
1958,144777.931916942
107,138112.30587036407
2295,170078.8692088049
704,95095.43282661322
676,131614.88975639574
259,180082.0638543634
93,296357.91198134643
106,231788.4853600194
2315,186177.32479620114
1050,113911.66391704221
1095,182451.52365604552
2709,135013.85186679434
758,141401.60618623692
1496,154470.2373743636
2370,125904.19838541944
2458,268605.34980831156
2733,115762.43520512756
161,305048.0777854126
726,155755.34450364325
845,205388.71773258896
947,259281.77387247083
2232,117707.76741929307
2563,164919.12369281676
2299,128710.71456225956
211,109832.87490057692
605,160213.98135040054
1478,187119.34276763696
2247,268472.6431180136
2274,158671.02711051237
2869,170322.19042013897
967,211476.6545866734
2656,105990.12508364841
667,204830.0306087891
1042,118194.09575126781
2023,167025.53835874822
2447,369374.29564403417
2055,115512.15635922985
2275,289324.3220831755
2204,168442.85749451217
1563,254259.15091244024
483,222604.80800570516
796,123726.24068140681
1526,147918.61449838162
2042,149146.76401783008
442,337266.80457527784
1693,321201.2630422782
1468,212090.27067967816
1430,173507.38989233534
2605,159224.58643536866
1529,162889.27178363
335,128790.2481495549
1287,131495.14620066952
31,114527.3498754612
1785,269444.6747260797
82,160021.2615361934
2620,122621.9297684384
252,200201.61496450778
721,81322.09447655328
2165,190887.23283837645
2316,169489.00506103734
775,120537.04181110667
1558,63622.940384819725
17,184896.79137646267
1022,228865.09589583916
925,125027.93585607376
438,306891.7400878991
1270,138410.57443286947
1272,121732.81003905495
215,146237.51601963045
266,227805.14976401412
2402,273270.8746647088
1250,128869.64061594392
1984,115059.74088891114
1279,140309.2370858203
377,246511.3344006433
1252,130625.08103314473
2156,256695.89262327465
499,320052.20739746344
1374,126578.32246673165
2898,240281.2168644826
401,106217.35726773617
2721,186085.55780304637
2078,252177.26136669255
2589,121919.69130588106
1946,279886.3147425607
1334,134400.84305933476
2781,241628.7820406145
431,384493.07899014856
576,202350.05684898022
1474,200863.51198945736
2254,128832.67333272762
2155,280225.2110779228
885,99038.12840415213
643,130438.03546579815
1944,132909.3558336808
480,194168.49901407803
2845,113494.66896055116
2387,329042.06447973126
2407,219183.63350807928
2527,160640.50164528794
2514,143510.44960989055
629,190259.47026371554
80,197482.09135356775
1876,144483.12558886377
1546,112867.24610730648
2518,163420.4015509576
2347,153152.65891393804
783,178914.60631178768
1322,66508.31762444219
194,93481.9555701388
1770,302809.20708198694
2143,127831.66264093928
1229,215174.34406079407
511,294430.7831912889
46,224059.56608128882
1348,178216.9322071205
2465,191687.7860357675
387,229097.13419474466
873,214053.78124584444
1918,120353.58328071186
2764,216334.66971097302
2184,127348.84974392227
934,142058.15716943785
1920,135937.24788422487
2631,148806.9263465964
1768,408893.4161874144
2040,105807.94649121005
1749,220240.0161861508
834,226510.17286522008
1457,258499.50503316385
79,113280.54535501589
2302,111245.51067666881
1817,120269.96770073073
2755,248057.3990572043
359,164185.43805967132
2059,112762.00366127868
2092,236281.61597876126
2516,244671.86018767554
150,118013.23461465279
1656,139557.05190882107
83,116848.63764052578
2411,187490.64371834716
795,77501.06490266857
2312,248816.99415579595
2917,89188.49659377337
1624,165098.08857480943
2215,321495.13513485505
1211,153874.5632110417
1485,139676.1723258556
1024,167601.3668143083
570,186176.2225859128
2874,113347.18493991841
700,138390.92409082616
2756,221148.81967874404
2022,178518.97390093928
583,228192.62110035817
2392,351768.30575895234
2424,208075.62786943634
212,115245.25177825526
736,145456.99244510685
1610,159949.67711065442
890,111230.28675182088
467,170583.3491415812
578,208305.1702703431
1747,156920.82218288397
1149,162730.5846018687
2758,243994.69212219273
857,128698.3122197459
2219,285324.87490797247
733,130384.43775657198
2909,116148.29585667208
1798,285700.7613702114
235,112540.00815403849
2366,136824.19553001437
1027,128258.00784135125
1195,137972.6510033734
1303,51521.3146967476
148,188893.81701367063
608,155328.13647548622
2515,180909.64097395353
821,287991.0997188599
2500,272056.9779925434
745,130879.89423175875
741,136855.25985199134
1611,104325.58876546845
2532,122855.10321026557
1081,225590.42970161574
1692,423577.8564244451
2520,165873.9239598259
276,95029.63551614381
1992,123050.20597238606
663,54656.62085425883
418,123966.29939101751
1733,185994.2314426051
2359,144780.26679766548
253,197270.29581165424
1518,183480.3774528092
2035,125767.75913348864
2919,94502.07599737633
1540,243390.71128687248
2120,138209.54940262926
1674,191383.91992974363
256,137100.5492645433
2361,103525.05008481642
978,89220.74709742801
2280,143117.09634493137
2095,212794.8020821783
1709,331643.7387588696
2801,242047.64962984525
1246,107380.2111092371
2373,119913.50432819268
1055,276187.5043061143
2017,120659.1660790653
1099,279266.4104682298
1344,87601.6876545611
835,158520.54452159666
1117,216645.84332828288
2043,90556.18371341418
2085,122993.74691921672
410,160855.0826532428
2650,110073.16802179137
2867,158021.1131228344
1668,119077.54693989066
1161,168059.06477739816
2122,164023.0258345973
2539,137339.77972797528
1047,140638.50210014626
1445,119637.00461067219
541,136253.04592775484
569,242309.64717618184
1276,127884.3147655801
918,138634.04790760847
326,164353.2161055722
1936,131390.28100539706
895,96878.91384662922
257,131054.79470553002
1241,178719.2487705449
1545,105409.56421673519
1189,180727.62948468322
270,139707.33969578944
2066,214455.02683134357
693,106667.24439467887
1259,116940.0478794459
2916,147938.40154016227
2321,299825.2266367053
1977,109701.02875365269
1895,159330.9164234234
1240,163967.21949982608
85,146328.8795223433
1823,113406.04263741108
825,322170.1916607783
110,225021.92841720322
697,115237.8893476074
2297,98500.02060604889
1231,133066.4636908104
1355,136767.69083774945
968,330410.7694373767
584,225713.33306933806
1315,120625.78186496318
1606,125982.12585591876
206,93281.73785743034
1685,327512.5945759341
2016,149487.0550036648
869,211795.1265998766
2135,117591.55412395929
2346,166850.73191722273
2430,226980.00084531188
2198,102441.33540094977
2652,107909.01253789384
27,106862.1333626393
241,168664.91513071253
906,135616.94319632658
1506,112442.52300714131
2098,381343.21547160187
1435,214959.63019252592
2213,106156.22843012391
1274,143328.67622515108
743,62840.282887063826
1737,189905.16735707482
2797,269531.3758879906
2185,77679.89607326392
58,155058.88138654458
830,195775.3585940445
808,119485.48039146315
680,159529.72477007564
1153,113442.51206107975
1291,140613.9840356326
1818,140813.74763431097
2161,183304.2640721783
1883,128585.50254584759
350,382426.87938790885
